density,time
0.011001,0.001603
0.012002,0.000992
0.013001,0.001416
0.014002,0.001383
0.015001,0.001610
0.016002,0.001943
0.017001,0.001790
0.018002,0.002271
0.019001,0.002130
0.020002,0.002085
0.021001,0.002017
0.022002,0.001859
0.023001,0.002297
0.024002,0.002110
0.025001,0.002776
0.026002,0.002561
0.027001,0.002938
0.028002,0.002365
0.029001,0.002404
0.030002,0.002968
0.031001,0.003573
0.032002,0.003515
0.033001,0.002786
0.034002,0.003739
0.035001,0.002931
0.036000,0.004808
0.037001,0.004033
0.038000,0.004137
0.039001,0.004724
0.040000,0.004459
0.041001,0.005769
0.048000,0.005300
0.049001,0.005540
0.050000,0.007250
0.051001,0.006170
0.052000,0.005471
0.053001,0.008383
0.054000,0.006042
0.055001,0.007249
0.056000,0.007679
0.057001,0.007563
0.058000,0.010494
0.059001,0.005611
0.060000,0.006572
0.061001,0.005878
0.062000,0.008399
0.063001,0.008894
0.064000,0.006903
0.065001,0.008248
0.066000,0.008463
0.067001,0.007064
0.068000,0.009248
0.069001,0.007183
0.070000,0.009799
0.071001,0.007972
0.072000,0.009312
0.073001,0.009004
0.074000,0.016973
0.075001,0.013290
0.076000,0.010112
0.077001,0.008147
0.078000,0.010899
0.079001,0.009818
0.080000,0.010148
0.081001,0.009079
0.082000,0.008565
0.083001,0.007971
0.084000,0.014376
0.085001,0.008494
0.086000,0.013020
0.087001,0.009641
0.088002,0.016123
0.089001,0.011058
0.090002,0.013547
0.091001,0.015435
0.092002,0.014843
0.093001,0.012144
0.094002,0.009454
0.095001,0.010577
0.096002,0.011870
0.097001,0.017721
0.098002,0.013922
0.099001,0.013369
0.100002,0.015386
0.101001,0.012997
0.102002,0.016735
0.103001,0.012637
0.104002,0.013486
0.105001,0.013067
0.106002,0.015497
0.107001,0.014965
0.108002,0.012589
0.109001,0.013686
0.110002,0.016041
0.111001,0.019003
0.112002,0.016242
0.113001,0.013851
0.114002,0.019276
0.115001,0.020468
0.116002,0.019987
0.117001,0.020063
0.118002,0.018512
0.119001,0.015275
0.120002,0.017836
0.121001,0.020098
0.122002,0.018715
0.123001,0.020819
0.125001,0.017437
0.126002,0.017884
0.127001,0.021397
0.128002,0.017851
0.129001,0.019791
0.130002,0.018274
0.131001,0.022861
0.132002,0.022024
0.133001,0.020690
0.134002,0.021502
0.135001,0.019079
0.136002,0.022494
0.137001,0.020104
0.138002,0.020022
0.139001,0.018932
0.140002,0.021198
0.141001,0.020937
0.142002,0.020974
0.143001,0.020978
0.144002,0.020442
0.145001,0.023054
0.146002,0.025178
0.147001,0.024521
0.148002,0.020542
0.149001,0.025120
0.150002,0.026479
0.151001,0.023018
0.152002,0.023481
0.153001,0.023777
0.154002,0.022239
0.155001,0.023756
0.156002,0.028718
0.157001,0.025632
0.158002,0.025561
0.159001,0.023189
0.160002,0.025023
0.161001,0.025315
0.162002,0.022551
0.163001,0.025336
0.164002,0.025140
0.165001,0.027125
0.166002,0.026187
0.167001,0.027615
0.168002,0.026916
0.169001,0.026201
0.170002,0.027080
0.171001,0.029149
0.173001,0.026926
0.174002,0.027840
0.175001,0.029479
0.176002,0.028713
0.177001,0.028803
0.178002,0.027616
0.179001,0.026868
0.180002,0.028412
0.181001,0.027863
0.182002,0.027589
0.183001,0.029146
0.184002,0.028999
0.185001,0.030535
0.186002,0.031173
0.187001,0.028728
0.188002,0.030801
0.189001,0.031101
0.190002,0.028551
0.191001,0.031307
0.192002,0.028048
0.193001,0.035081
0.194002,0.031087
0.195001,0.031374
0.196002,0.030752
0.197001,0.030258
0.198002,0.032801
0.200002,0.031691
0.201001,0.033610
0.202002,0.031618
0.203001,0.032133
0.204002,0.033729
0.205001,0.033626
0.206002,0.036186
0.207001,0.032021
0.208002,0.032689
0.209001,0.032912
0.210002,0.033883
